,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Ambilobe,MG,2020-05-08 03:32:59,-13.2,49.05,73.35,81,18,3.0,few clouds,0.0,0.0
1,Kalmunai,LK,2020-05-08 03:32:59,7.42,81.82,85.55,68,47,0.63,scattered clouds,0.0,0.0
2,Mataura,NZ,2020-05-08 03:32:59,-46.19,168.86,52.61,77,99,1.54,overcast clouds,0.0,0.0
3,Geraldton,AU,2020-05-08 03:32:59,-28.77,114.6,69.8,56,40,10.29,scattered clouds,0.0,0.0
4,Kaseda,JP,2020-05-08 03:32:59,31.42,130.32,71.6,49,75,16.11,broken clouds,0.0,0.0
5,Klaksvik,FO,2020-05-08 03:33:00,62.23,-6.59,42.8,93,100,6.78,light rain,0.0,0.0
6,San Clemente,US,2020-05-08 03:33:00,33.43,-117.61,68.0,86,77,1.19,broken clouds,0.0,0.0
7,Kieta,PG,2020-05-08 03:42:53,-6.22,155.63,84.52,69,36,4.65,light rain,0.21,0.0
8,Ushuaia,AR,2020-05-08 03:33:00,-54.8,-68.3,48.2,76,90,2.24,light rain,0.0,0.0
9,Jamestown,US,2020-05-08 03:33:00,42.1,-79.24,41.0,60,90,6.93,overcast clouds,0.0,0.0
10,Miyako,JP,2020-05-08 03:33:00,39.64,141.95,62.33,45,10,7.85,clear sky,0.0,0.0
11,Kaitangata,NZ,2020-05-08 03:33:01,-46.28,169.85,54.0,63,65,5.99,broken clouds,0.0,0.0
12,Saskylakh,RU,2020-05-08 03:33:01,71.92,114.08,8.58,93,85,7.83,overcast clouds,0.0,0.0
13,Dhidhdhoo,MV,2020-05-08 03:37:48,6.88,73.1,84.4,71,100,5.75,overcast clouds,0.0,0.0
14,Khatanga,RU,2020-05-08 03:42:54,71.97,102.5,16.32,93,0,11.48,clear sky,0.0,0.0
15,Busselton,AU,2020-05-08 03:33:01,-33.65,115.33,59.0,87,99,1.99,overcast clouds,0.0,0.0
16,Beringovskiy,RU,2020-05-08 03:33:01,63.05,179.32,31.93,99,100,10.76,snow,0.0,0.55
17,Atuona,PF,2020-05-08 03:33:02,-9.8,-139.03,80.71,77,84,18.48,broken clouds,0.0,0.0
18,Mahebourg,MU,2020-05-08 03:33:02,-20.41,57.7,71.6,94,40,4.83,scattered clouds,0.0,0.0
19,Port Alfred,ZA,2020-05-08 03:42:55,-33.59,26.89,64.0,80,96,4.0,overcast clouds,0.0,0.0
20,Saint George,US,2020-05-08 03:31:24,37.1,-113.58,77.0,8,1,27.51,clear sky,0.0,0.0
21,Norman Wells,CA,2020-05-08 03:33:02,65.28,-126.83,44.6,52,5,5.82,clear sky,0.0,0.0
22,Ponta Do Sol,PT,2020-05-08 03:33:03,32.67,-17.1,60.8,82,20,4.7,few clouds,0.0,0.0
23,Puerto Ayora,EC,2020-05-08 03:33:03,-0.74,-90.35,77.0,94,23,1.01,few clouds,0.0,0.0
