,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kalmunai,LK,85.55,scattered clouds,7.42,81.82,VS Villa
13,Dhidhdhoo,MV,84.4,overcast clouds,6.88,73.1,Dhidhoo beach
17,Atuona,PF,80.71,broken clouds,-9.8,-139.03,Villa Enata
20,Saint George,US,77.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
23,Puerto Ayora,EC,77.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
30,Road Town,VG,82.0,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
31,Yulara,AU,84.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
32,Bandarbeyla,SO,82.98,clear sky,9.49,50.81,REER XOOSHLE GROUP
37,Rikitea,PF,75.58,clear sky,-23.12,-134.97,Pension Maro'i
38,Kibala,TD,78.8,few clouds,9.11,18.35,
44,Isangel,VU,80.6,few clouds,-19.55,169.27,Volcano Sea View Tree House
45,Hilo,US,80.6,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
50,Zaraza,VE,76.93,overcast clouds,9.35,-65.32,Hotel Zaraza
51,Gamba,GA,77.49,few clouds,-2.65,10.0,
53,Gizo,SB,83.73,broken clouds,-8.1,156.84,Imagination Island
55,Georgetown,MY,89.6,scattered clouds,5.41,100.34,Cititel Penang
59,Sinnamary,GF,78.17,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
60,Sola,VU,86.0,scattered clouds,-13.88,167.55,Leumerus Bungalows
67,Puerto Penasco,MX,79.0,overcast clouds,31.32,-113.53,Playa Bonita Resort
68,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
72,Bengkulu,ID,84.06,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
73,Kapaa,US,77.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
78,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
81,Eyl,SO,84.0,scattered clouds,7.98,49.82,Amiin Hotel
82,Butaritari,KI,84.02,few clouds,3.07,172.79,Isles Sunset Lodge
83,Banjar,ID,87.8,few clouds,-8.19,114.97,The Hamsa Resort
88,Acarau,BR,77.31,clear sky,-2.89,-40.12,castelo pizzaria
93,Adrar,MR,88.05,overcast clouds,20.5,-10.07,
94,Oranjestad,AW,82.4,broken clouds,12.52,-70.03,Divi Village Golf & Beach Resort
96,Saint-Philippe,RE,75.2,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
99,Avarua,CK,82.4,clear sky,-21.21,-159.78,Paradise Inn
105,Luganville,VU,82.4,few clouds,-15.53,167.17,The Espiritu Hotel
108,Hithadhoo,MV,84.67,overcast clouds,-0.6,73.08,Scoop Guest House
112,Tessalit,ML,83.14,clear sky,20.2,1.01,
125,Port Blair,IN,86.0,broken clouds,11.67,92.75,Hotel Sentinel
126,Ballina,AU,80.01,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
128,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
129,Natal,BR,75.2,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
136,Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
139,Port Hedland,AU,87.8,few clouds,-20.32,118.57,The Esplanade Hotel
140,Mersing,MY,82.4,scattered clouds,2.43,103.84,Timotel Hotel
144,Namatanai,PG,85.73,broken clouds,-3.67,152.43,Namatanai Hotel
146,Kavaratti,IN,87.8,few clouds,10.57,72.64,Bismillah Hotel And Lodging
147,Mount Isa,AU,86.0,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
150,Alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
151,Ambon,ID,87.8,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
154,Majene,ID,86.59,few clouds,-3.54,118.97,Kost Putri RABBANI
158,Sao Jose Da Coroa Grande,BR,77.49,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
170,Harper,LR,79.84,overcast clouds,4.38,-7.72,Cape View Guest House
171,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
176,Alice Springs,AU,86.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
178,Pahrump,US,82.0,clear sky,36.21,-115.98,Best Western Pahrump Oasis
185,Kavieng,PG,85.44,clear sky,-2.57,150.8,Nusa Island Retreat
191,Kidal,ML,79.84,clear sky,18.44,1.41,
192,Laguna De Perlas,NI,80.8,overcast clouds,12.34,-83.67,Hotel Best View
201,Tura,IN,88.39,clear sky,25.52,90.22,Hotel RIKMAN Continental
203,Iracoubo,GF,78.53,overcast clouds,5.48,-53.2,
210,Gorom-Gorom,BF,78.96,broken clouds,14.44,-0.24,Mairie de Rambo
214,Trairi,BR,75.61,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
217,Bonthe,SL,79.3,overcast clouds,7.53,-12.51,Bonthe Holiday Village
218,Along,IN,84.94,clear sky,28.17,94.77,Hotel West
220,Galesong,ID,89.6,few clouds,-5.32,119.37,Sapriadi Appy
230,Conceicao Do Araguaia,BR,78.8,overcast clouds,-8.26,-49.26,Tarumã Tropical Hotel
231,Hays,US,77.0,broken clouds,30.05,-98.03,Sinya on Lone Man Creek
233,Diebougou,BF,81.55,broken clouds,10.97,-3.25,Hotel Le Consulat
240,Umm Kaddadah,SD,78.94,overcast clouds,13.6,26.69,
246,Port Macquarie,AU,75.99,clear sky,-31.43,152.92,Rydges Port Macquarie
250,Mancora,PE,78.94,scattered clouds,-4.11,-81.05,Máncora Marina Hotel
251,Bowen,AU,82.0,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
252,Ukiah,US,78.8,clear sky,39.15,-123.21,Hampton Inn Ukiah
253,Victoria,HK,87.01,overcast clouds,22.29,114.16,Mini Hotel Central
257,Azare,NG,76.46,scattered clouds,11.68,10.19,Criss Hotel
258,Daru,PG,82.94,overcast clouds,-9.08,143.21,New century hotel
268,Puerto Escondido,MX,82.85,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
274,Kaya,BF,84.92,scattered clouds,13.09,-1.08,Maison de l'appelé
277,Berbera,SO,88.36,broken clouds,10.44,45.01,Damal Hotel
278,Gigmoto,PH,87.67,broken clouds,13.78,124.39,Cj's Travellers Inn
296,Matara,LK,84.07,overcast clouds,5.95,80.54,Amaloh Boutique Resort
297,Half Moon Bay,US,75.2,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
298,San Nicolas,PH,89.6,few clouds,18.17,120.6,SUNDAY COCOON GUEST HOUSE II
300,Sikasso,ML,81.86,scattered clouds,10.92,-7.0,
301,La Fria,VE,77.49,overcast clouds,8.22,-72.24,Estacionamiento de los toledos.
302,Saint-Pierre,RE,75.2,overcast clouds,-21.34,55.48,Lindsey Hôtel
309,Black River,JM,80.01,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
