City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-05-06 03:15:00,-54.8,-68.3,39.2,55,98,6.93
1,Loukhi,RU,2020-05-06 03:15:00,66.08,33.04,34.32,90,0,6.71
2,Los Llanos De Aridane,ES,2020-05-06 03:13:29,28.66,-17.92,66.2,63,20,6.93
3,Yellowknife,CA,2020-05-06 03:15:01,62.46,-114.35,41.0,44,20,14.99
4,Pangnirtung,CA,2020-05-06 03:15:01,66.15,-65.71,9.25,87,0,2.73
5,Tabuk,PH,2020-05-06 03:15:01,17.42,121.44,90.03,57,12,4.72
6,Rikitea,PF,2020-05-06 03:15:01,-23.12,-134.97,73.22,71,92,16.06
7,Sarapul,RU,2020-05-06 03:15:02,56.48,53.8,59.0,44,0,1.99
8,Avarua,CK,2020-05-06 03:14:24,-21.21,-159.78,80.6,78,54,3.36
9,Bluff,NZ,2020-05-06 03:15:02,-46.6,168.33,53.98,76,100,25.32
10,Saskylakh,RU,2020-05-06 03:15:02,71.92,114.08,6.17,93,97,11.36
11,Shirokiy,RU,2020-05-06 03:15:02,49.76,129.52,61.5,30,0,5.21
12,Punta Arenas,CL,2020-05-06 03:10:13,-53.15,-70.92,37.0,65,100,4.7
13,Coquimbo,CL,2020-05-06 03:15:03,-29.95,-71.34,53.6,93,10,3.36
14,Dikson,RU,2020-05-06 03:15:03,73.51,80.55,10.13,92,88,12.8
15,Elk Point,US,2020-05-06 03:15:03,42.68,-96.68,46.99,99,3,4.74
16,La Sarre,CA,2020-05-06 03:12:04,48.8,-79.2,29.1,89,0,3.31
17,Port Alfred,ZA,2020-05-06 03:12:26,-33.59,26.89,62.01,86,20,5.01
18,Selma,US,2020-05-06 03:14:38,36.57,-119.61,80.6,22,1,6.93
19,Grado,ES,2020-05-06 03:15:04,43.39,-6.07,57.2,82,1,8.05
20,Port Lincoln,AU,2020-05-06 03:15:05,-34.73,135.87,69.82,30,97,21.9
